2025-04-15 16:10:30.7060 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Client.wasm.gz - 304 - application/wasm 2.3012ms 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Common.wasm - - - 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.SignalR.Common.wasm.gz was not modified 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Client.Core.wasm - - - 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Common.wasm.gz - 304 - application/wasm 3.8512ms 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Protocols.Json.wasm - - - 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.Bcl.AsyncInterfaces.wasm - - - 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.Bcl.TimeProvider.wasm - - - 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.SignalR.Protocols.Json.wasm.gz was not modified 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.Bcl.TimeProvider.wasm.gz was not modified 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.AspNetCore.SignalR.Client.Core.wasm.gz was not modified 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Protocols.Json.wasm.gz - 304 - application/wasm 1.4143ms 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.Bcl.TimeProvider.wasm.gz - 304 - application/wasm 1.3626ms 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.StaticFiles.StaticFileMiddleware | The file /_framework/Microsoft.Bcl.AsyncInterfaces.wasm.gz was not modified 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.Extensions.Configuration.wasm - - - 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executed endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.AspNetCore.SignalR.Client.Core.wasm.gz - 304 - application/wasm 3.5541ms 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.Bcl.AsyncInterfaces.wasm.gz - 304 - application/wasm 2.4165ms 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/1.1 GET http://172.16.144.19:5242/_framework/Microsoft.Extensions.Configuration.Abstractions.wasm - - - 
2025-04-15 16:10:30.7282 | INFO | Microsoft.AspNetCore.Routing.EndpointMiddleware | Executing endpoint 'Microsoft.AspNetCore.Routing.RouteEndpoint' 
